"","OutcomeType","OutcomeLabel_I","Type of outcome?","n"
"1","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","% choice of larger reward","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",1
"2","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","Cocaine-induced stereotypies (stereotypy time)","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",7
"3","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","MWM - crossings to target","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",5
"4","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","MWM - escape latency","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",5
"5","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","MWM - platform entries","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",5
"6","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","MWM ecsape latency after 6 days MK-801","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",21
"7","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","N small and soon","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",1
"8","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","NOR","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",12
"9","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","NOR - Discrimiation index (median +/- IQR)","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",2
"10","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","Social interaction test – interaction time","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",7
"11","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","social interaction","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",5
"12","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression","stereotypy","Behavioural (other related to psychosis), e.g. positive/negative/cognitive/depression",5
"13","Behavioural (primary): locomotor hyperactivity, PPI impairment","attention set shifting","Behavioural (primary): locomotor hyperactivity, PPI impairment",3
"14","Behavioural (primary): locomotor hyperactivity, PPI impairment","total movements (median +/- IQR)","Behavioural (primary): locomotor hyperactivity, PPI impairment",6
"15","Locomotor activity","Climbing behaviour – mean score","Behavioural (primary): locomotor hyperactivity, PPI impairment",3
"16","Locomotor activity","HORIZONTAL ACTIVITY (Mean +/- SEM)","Behavioural (primary): locomotor hyperactivity, PPI impairment",3
"17","Locomotor activity","Horizontal locomotor activity – beam breaks","Behavioural (primary): locomotor hyperactivity, PPI impairment",21
"18","Locomotor activity","LMA","Behavioural (primary): locomotor hyperactivity, PPI impairment",3
"19","Locomotor activity","LMA - C, P - Olanz","Behavioural (primary): locomotor hyperactivity, PPI impairment",10
"20","Locomotor activity","LMA - C,P","Behavioural (primary): locomotor hyperactivity, PPI impairment",17
"21","Locomotor activity","LMA - C,P - Resp","Behavioural (primary): locomotor hyperactivity, PPI impairment",17
"22","Locomotor activity","LMA - L","Behavioural (primary): locomotor hyperactivity, PPI impairment",13
